HQURT_NAME,CMDLT_NAME,HSCD,HSCD_CN,REG_DT,REGL_CN,ISO_WD2_NAT_CD,REGL_STR_DE,REGL_END_DE,PROBE_TGT_NAT_NAME
동남아대양주지역본부,냉연철강(Cold-rolled steel),720926,"720916,720917,720918,720926,720927,720928,720990,721123,721129",2023-05-19,반덤핑(규제중),VN,20201228,20251227,중국
북미지역본부,석영 표면 제품(Quartz surface products),250610,"2506,250610,6810,681019,681091,681099,6815,681599",2023-05-19,반덤핑(규제중),US,20190711,20240710,중국
북미지역본부,석영 표면 제품(Quartz surface products),681019,"2506,250610,6810,681019,681091,681099,6815,681599",2023-05-19,반덤핑(규제중),US,20190711,20240710,중국
북미지역본부,아질산나트륨(Sodium Nitrite),283410,283410,2023-05-19,반덤핑(규제중),US,20230103,20280102,인도
북미지역본부,무방향성 전기강판(NOES: Non-Oriented Electrical Steel),722619,"7225190000,7226191000,7226199000,7225508085,7225990090,7226925000,7226927050,7226928050,7226990180",2023-05-19,상계관세(규제중),US,20141006,20251222,"중국,대만"
북미지역본부,모바일 액세스 장비 및 하위 어셈블리(Mobile Access Equipment and Subassemblies),842710,"8427108020,8427108030,8427108070,8427108095,8427208020,8427208090,8427900020,8427900090",2023-05-19,반덤핑(규제중),US,20220414,20280413,중국
북미지역본부,모바일 액세스 장비 및 하위 어셈블리(Mobile Access Equipment and Subassemblies),842710,"8427108020,8427108030,8427108070,8427108095,8427208020,8427208090,8427900020,8427900090",2023-05-19,상계관세(규제중),US,20211210,20261210,중국
북미지역본부,모바일 액세스 장비 및 하위 어셈블리(Mobile Access Equipment and Subassemblies),842720,"8427108020,8427108030,8427108070,8427108095,8427208020,8427208090,8427900020,8427900090",2023-05-19,반덤핑(규제중),US,20220414,20280413,중국
북미지역본부,모바일 액세스 장비 및 하위 어셈블리(Mobile Access Equipment and Subassemblies),842720,"8427108020,8427108030,8427108070,8427108095,8427208020,8427208090,8427900020,8427900090",2023-05-19,상계관세(규제중),US,20211210,20261210,중국
북미지역본부,모바일 액세스 장비 및 하위 어셈블리(Mobile Access Equipment and Subassemblies),842790,"8427108020,8427108030,8427108070,8427108095,8427208020,8427208090,8427900020,8427900090",2023-05-19,반덤핑(규제중),US,20220414,20280413,중국
북미지역본부,모바일 액세스 장비 및 하위 어셈블리(Mobile Access Equipment and Subassemblies),842790,"8427108020,8427108030,8427108070,8427108095,8427208020,8427208090,8427900020,8427900090",2023-05-19,상계관세(규제중),US,20211210,20261210,중국
북미지역본부,스테인리스 선재(Stainless steel wire rod),722100,"7221000005,7221000015,7221000020,7221000030,7221000040,7221000045,7221000060,7221000075,7221000080",2023-05-19,반덤핑(규제중),US,20170623,20220622,인도
북미지역본부,석영 표면 제품(Quartz surface products),6810,"2506,250610,6810,681019,681091,681099,6815,681599",2023-05-19,반덤핑(규제중),US,20190711,20240710,중국
북미지역본부,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",730419,"73041910,73041950,73043160,73043900,73045150,73045960,73045980",2023-05-19,반덤핑(규제중),US,20210823,20260822,"러시아, 우크라이나"
북미지역본부,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",730419,"73041910,73041950,73043160,73043900,73045150,73045960,73045980",2023-05-19,상계관세(규제중),US,20210823,20260822,러시아
북미지역본부,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",730431,"73041910,73041950,73043160,73043900,73045150,73045960,73045980",2023-05-19,반덤핑(규제중),US,20210823,20260822,"러시아, 우크라이나"
북미지역본부,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",730431,"73041910,73041950,73043160,73043900,73045150,73045960,73045980",2023-05-19,상계관세(규제중),US,20210823,20260822,러시아
북미지역본부,스테인리스 스틸 플레이트 코일(stainless steel plate in coils),721911,"7219110030,7219110060,7219120005,7219120020,7219120025,7219120050,7219120055,7219120065,7219120070,7219120080,7219310010,7219900010,7219900020,7219900025,7219900060,7219900080,7220110000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220900010,7220900015,7220900060,7220900080",2023-05-19,상계관세(조사중),US,,,남아공
북미지역본부,스테인리스 스틸 플레이트 코일(stainless steel plate in coils),721912,"7219110030,7219110060,7219120005,7219120020,7219120025,7219120050,7219120055,7219120065,7219120070,7219120080,7219310010,7219900010,7219900020,7219900025,7219900060,7219900080,7220110000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220900010,7220900015,7220900060,7220900080",2023-05-19,상계관세(조사중),US,,,남아공
북미지역본부,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",730439,"73041910,73041950,73043160,73043900,73045150,73045960,73045980",2023-05-19,반덤핑(규제중),US,20210823,20260822,"러시아, 우크라이나"
북미지역본부,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",730439,"73041910,73041950,73043160,73043900,73045150,73045960,73045980",2023-05-19,상계관세(규제중),US,20210823,20260822,러시아
북미지역본부,스테인리스 스틸 플레이트 코일(stainless steel plate in coils),721931,"7219110030,7219110060,7219120005,7219120020,7219120025,7219120050,7219120055,7219120065,7219120070,7219120080,7219310010,7219900010,7219900020,7219900025,7219900060,7219900080,7220110000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220900010,7220900015,7220900060,7220900080",2023-05-19,상계관세(조사중),US,,,남아공
북미지역본부,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",730451,"73041910,73041950,73043160,73043900,73045150,73045960,73045980",2023-05-19,반덤핑(규제중),US,20210823,20260822,"러시아, 우크라이나"
북미지역본부,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",730451,"73041910,73041950,73043160,73043900,73045150,73045960,73045980",2023-05-19,상계관세(규제중),US,20210823,20260822,러시아
북미지역본부,스테인리스 스틸 플레이트 코일(stainless steel plate in coils),721990,"7219110030,7219110060,7219120005,7219120020,7219120025,7219120050,7219120055,7219120065,7219120070,7219120080,7219310010,7219900010,7219900020,7219900025,7219900060,7219900080,7220110000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220900010,7220900015,7220900060,7220900080",2023-05-19,상계관세(조사중),US,,,남아공
북미지역본부,송유관(Welded Line Pipe),730619,"7305111030,7305115000,7305121030,7305125000,7305191030,7305195000,7306191010,7306191050,7306195110,7306195150,7305111060,7305121060",2023-05-19,상계관세(규제중),US,20210630,20260629,터키
북미지역본부,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",730459,"73041910,73041950,73043160,73043900,73045150,73045960,73045980",2023-05-19,반덤핑(규제중),US,20210823,20260822,"러시아, 우크라이나"
북미지역본부,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",730459,"73041910,73041950,73043160,73043900,73045150,73045960,73045980",2023-05-19,상계관세(규제중),US,20210823,20260822,러시아
북미지역본부,송유관(Welded Line Pipe),730519,"7305111030,7305115000,7305121030,7305125000,7305191030,7305195000,7306191010,7306191050,7306195110,7306195150,7305111060,7305121060",2023-05-19,상계관세(규제중),US,20210630,20260629,터키
북미지역본부,무방향성 전기강판(NOES: Non-Oriented Electrical Steel),722519,"7225190000,7226191000,7226199000,7225508085,7225990090,7226925000,7226927050,7226928050,7226990180",2023-05-19,상계관세(규제중),US,20141006,20251222,"중국,대만"
북미지역본부,스테인리스 스틸 플레이트 코일(stainless steel plate in coils),722011,"7219110030,7219110060,7219120005,7219120020,7219120025,7219120050,7219120055,7219120065,7219120070,7219120080,7219310010,7219900010,7219900020,7219900025,7219900060,7219900080,7220110000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220900010,7220900015,7220900060,7220900080",2023-05-19,상계관세(조사중),US,,,남아공
북미지역본부,석영 표면 제품(Quartz surface products),2506,"2506,250610,6810,681019,681091,681099,6815,681599",2023-05-19,반덤핑(규제중),US,20190711,20240710,중국
북미지역본부,스틸 와이어 옷걸이(Steel wire garment hangers),732620,"732620,732690",2023-05-19,상계관세(규제중),US,20180820,20230819,베트남
북미지역본부,석영 표면 제품(Quartz surface products),681091,"2506,250610,6810,681019,681091,681099,6815,681599",2023-05-19,반덤핑(규제중),US,20190711,20240710,중국
북미지역본부,열연 탄소강판(Hot-rolled carbon steel flat products),720837,"7208101500,7208103000,7208106000,7208253000,7208256000,7208260030,7208260060,7208270030,7208270060,7208360030,7208360060,7208370030,7208370060,7208380015,7208380030,7208380090,7208390015,7208390030,7208390090,7208406030,7208406060,7208530000,7208540000,7208900000,7211140090,7211191500,7211192000,7211193000,7211194500,7211196000,7211197530,7211197560,7211197590",2023-05-19,상계관세(규제중),US,20190827,20240826,"인도,인도네시아,태국"
북미지역본부,매트리스(Mattresses),940140,"940140,940190,940421,940429",2023-05-19,상계관세(규제중),US,20210514,20260513,중국
북미지역본부,열연 탄소강판(Hot-rolled carbon steel flat products),720838,"7208101500,7208103000,7208106000,7208253000,7208256000,7208260030,7208260060,7208270030,7208270060,7208360030,7208360060,7208370030,7208370060,7208380015,7208380030,7208380090,7208390015,7208390030,7208390090,7208406030,7208406060,7208530000,7208540000,7208900000,7211140090,7211191500,7211192000,7211193000,7211194500,7211196000,7211197530,7211197560,7211197590",2023-05-19,상계관세(규제중),US,20190827,20240826,"인도,인도네시아,태국"
북미지역본부,알루미늄 호일(Aluminum Foil),760719,"7606,760611,760612,760691,760692,7607,760711,760719",2023-05-19,상계관세(규제중),US,20211112,20261111,"오만,터키"
북미지역본부,멜라민(Melamine),293361,293361,2023-05-19,상계관세(규제중),US,20151228,20260708,중국
북미지역본부,무방향성 전기강판(NOES: Non-Oriented Electrical Steel),722692,"7225190000,7226191000,7226199000,7225508085,7225990090,7226925000,7226927050,7226928050,7226990180",2023-05-19,상계관세(규제중),US,20141006,20251222,"중국,대만"
북미지역본부,아질산 나트륨(Sodium nitrite),283410,2834101000,2023-05-19,상계관세(규제중),US,20080827,20240811,중국
북미지역본부,무방향성 전기강판(NOES: Non-Oriented Electrical Steel),722699,"7225190000,7226191000,7226199000,7225508085,7225990090,7226925000,7226927050,7226928050,7226990180",2023-05-19,상계관세(규제중),US,20141006,20251222,"중국,대만"
북미지역본부,바륨 염화물(Barium Chloride),282739,2827394500,2023-05-19,상계관세(규제중),US,20230103,20280102,인도
북미지역본부,송유관(Welded Line Pipe),730511,"7305111030,7305115000,7305121030,7305125000,7305191030,7305195000,7306191010,7306191050,7306195110,7306195150,7305111060,7305121060",2023-05-19,상계관세(규제중),US,20210630,20260629,터키
북미지역본부,스테인리스 스틸 플레이트 코일(stainless steel plate in coils),722020,"7219110030,7219110060,7219120005,7219120020,7219120025,7219120050,7219120055,7219120065,7219120070,7219120080,7219310010,7219900010,7219900020,7219900025,7219900060,7219900080,7220110000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220900010,7220900015,7220900060,7220900080",2023-05-19,상계관세(조사중),US,,,남아공
북미지역본부,세분화된 폴리테트라플루오로에틸렌(PTFE) 수지(granular polytetrafluoroethylene (PTFE) resin),390469,"3904610010,3904695000",2023-05-19,상계관세(규제중),US,20220315,20270315,"인도,러시아"
북미지역본부,백포도 농축액(White grape juice concentrate),200969,200969,2023-05-19,상계관세(조사중),US,,,아르헨티나
북미지역본부,세분화된 폴리테트라플루오로에틸렌(PTFE) 수지(granular polytetrafluoroethylene (PTFE) resin),390469,"3904610010,3904695000",2023-05-19,반덤핑(규제중),US,20220315,20270315,"인도,러시아"
북미지역본부,보존 버섯 (Certain Preserved Mushrooms),200310,"2003100127,2003100131,2003100137",2023-05-19,반덤핑(조사중),US,,,"네덜란드, 폴란드, 스페인,프랑스"
북미지역본부,세분화된 폴리테트라플루오로에틸렌(PTFE) 수지(granular polytetrafluoroethylene (PTFE) resin),390461,"3904610010,3904695000",2023-05-19,상계관세(규제중),US,20220315,20270315,"인도,러시아"
북미지역본부,세분화된 폴리테트라플루오로에틸렌(PTFE) 수지(granular polytetrafluoroethylene (PTFE) resin),390461,"3904610010,3904695000",2023-05-19,반덤핑(규제중),US,20220315,20270315,"인도,러시아"
북미지역본부,"볼트리스 스틸 선반 유닛
판매용 사전 포장(Boltless Steel Shelving Units
Prepackaged for Sale)",940320,"9403200018,9403200020,9403200025,9403200026",2023-05-19,반덤핑(규제중),US,20210512,20260511,중국
북미지역본부,"볼트리스 스틸 선반 유닛
판매용 사전 포장(Boltless Steel Shelving Units
Prepackaged for Sale)",940320,"9403200018,9403200020,9403200025,9403200026",2023-05-19,상계관세(규제중),US,20210512,20260511,중국
북미지역본부,스테인리스 스틸 플레이트 코일(stainless steel plate in coils),722090,"7219110030,7219110060,7219120005,7219120020,7219120025,7219120050,7219120055,7219120065,7219120070,7219120080,7219310010,7219900010,7219900020,7219900025,7219900060,7219900080,7220110000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220900010,7220900015,7220900060,7220900080",2023-05-19,상계관세(조사중),US,,,남아공
북미지역본부,스테인리스 용접강관(Circular welded austenitic stainless pressure pipe),730640,730640,2023-05-19,상계관세(규제중),US,20191206,20241206,중국
북미지역본부,스테인리스 용접강관(Welded stainless pressure pipe),730640,730640,2023-05-19,상계관세(규제중),US,20220512,20270511,인도
북미지역본부,상품 매치북(Commodity matchbooks),360500,360500,2023-05-19,상계관세(규제중),US,20201109,20251108,인도
북미지역본부,실리코망간(Silicomanganese),720299,"720230,720299",2023-05-19,반덤핑(규제중),US,20181212,20231211,"중국,우크라이나"
북미지역본부,실리코망간(Silicomanganese),720230,"720230,720299",2023-05-19,반덤핑(규제중),US,20181212,20231211,"중국,우크라이나"
