나라,품목,예상 비중( 유사도 * 비중 / (유사도의 합) ) ,RCA,분자의 분자,분자의 분모,분모의 분자,분모의 분모,해당 나라 해당 품목 수입액,해당 나라 해당 품목 수출액,규제시작일자,규제종료일자
NP,870322,0.015371406,2.1999532974303966,6266563064,681729790292,96002635023,22976267162433,194870,0,,
NP,271019,0.008294951,2.624906146601006,46318725022,681729790292,594716539591,22976267162433,740379,43551,,
NP,401120,0.007738877,1.173322226722956,926614789,681729790292,26616388673,22976267162433,24495,0,,
NP,848210,0.000892357,1.069231493126608,463592712,681729790292,14612753495,22976267162433,75907,2809,,
NP,842139,0.000225634,1.1512306410759328,790447993,681729790292,23140788928,22976267162433,394930,4535,,
NP,852910,0.000206828,0.8249410172661443,144857235,681729790292,5918129901,22976267162433,173366,0,,
NP,842489,0.000155874,1.4348734432044263,270764597,681729790292,6359829625,22976267162433,180120,0,,
NP,560750,8.6269e-05,1.819827273947449,49967539,681729790292,925390402,22976267162433,68773,23696,,
NP,392310,7.54828e-05,1.6376315096526537,628504201,681729790292,12934784547,22976267162433,27653,26561,,
NP,960810,6.66184e-05,0.387800429060588,32453522,681729790292,2820465230,22976267162433,87630,0,,
NP,830250,3.66141e-05,0.2326020051993325,23202443,681729790292,3361920662,22976267162433,36297,3444,,
NP,330430,2.62898e-05,0.7918019387975734,39335903,681729790292,1674325007,22976267162433,94376,12697,,
NP,820590,2.05019e-05,0.9988552403395998,8766722,681729790292,295802529,22976267162433,11596,57,,
NP,842549,7.0335e-06,0.1921871565361509,6775117,681729790292,1188118172,22976267162433,123537,0,,
UY,840991,0.0066053886,1.2631741064386492,1239752841,681729790292,33077988953,22976267162433,4600900,235,,
UY,841480,0.004575089,0.4803611369080025,320493251,681729790292,22486311608,22976267162433,10813216,19281,,
UY,848310,0.0037481489,1.0783644520125752,462426927,681729790292,14452559040,22976267162433,3881045,89333,,
UY,392051,0.0015897075,5.557418041960333,310000084,681729790292,1879991757,22976267162433,583713,0,,
UY,340290,0.0013311398,0.6688650027513369,166011541,681729790292,8365020475,22976267162433,8558718,3699660,,
UY,840734,0.0011142087,0.9193518575622076,924480919,681729790292,33890922799,22976267162433,500663,77276,,
UY,901849,0.0010661831,1.4620696388733367,375322243,681729790292,8651739700,22976267162433,2079425,15634,,
UY,841950,0.0010264332,1.3928165996740287,516991509,681729790292,12509981760,22976267162433,4837234,12777,,
UY,732020,0.0008921281,0.4474805626956629,53866811,681729790292,4057086713,22976267162433,1502348,1892,,
UY,840820,0.0008442846,0.1567325076410303,135730208,681729790292,29186675707,22976267162433,51160396,1895488,,
UY,870891,0.0007172446,0.2884485000017336,67400423,681729790292,7875199011,22976267162433,4801333,181565,,
UY,853620,0.0007057068,0.6011067912774721,177674548,681729790292,9961868047,22976267162433,7622859,65044,,
UY,841459,0.0006172034,0.4589477501481682,237347908,681729790292,17429677970,22976267162433,5839057,29042,,
UY,851230,0.0003584455,1.6585600757073329,51455787,681729790292,1045611180,22976267162433,277468,388,,
UY,400942,0.0001930238,0.4699615417762403,23699234,681729790292,1699570520,22976267162433,556151,635,,
UY,848140,0.0001885751,0.3364419445345659,50162303,681729790292,5024982261,22976267162433,1956210,170369,,
UY,731829,0.0001426634,0.4609647251955966,62275761,681729790292,4553219118,22976267162433,1180225,17888,,
UY,281122,0.0001195347,0.9101698289326892,100640270,681729790292,3726632425,22976267162433,1944814,585,,
UY,842490,9.82268e-05,0.3293244090381557,73031065,681729790292,7473962474,22976267162433,4165099,5461,,
UY,392410,6.45272e-05,0.1670464876324425,64987787,681729790292,13111778383,22976267162433,11477132,67714,,
UY,830710,5.69554e-05,1.063577713770672,79660324,681729790292,2524294611,22976267162433,784906,0,,
UY,848320,5.42504e-05,0.2066380822278581,8831324,681729790292,1440398485,22976267162433,575081,0,,
UY,851310,4.49008e-05,0.0982246572310798,9298578,681729790292,3190532822,22976267162433,1171842,0,,
UY,848280,4.43817e-05,0.6506102772193136,23553163,681729790292,1220100257,22976267162433,852659,18427,,
UY,848220,3.8442e-05,1.131125944806724,180173190,681729790292,5368418992,22976267162433,2339413,5018,,
UY,848250,2.99248e-05,0.1988920415670733,23272736,681729790292,3943639769,22976267162433,1665274,3422,,
UY,848299,2.63054e-05,1.177295715560882,170088377,681729790292,4869184981,22976267162433,273725,25434,,
UY,848360,2.31211e-05,0.2784978405084236,31919547,681729790292,3862798797,22976267162433,1575380,203919,,
UY,830241,1.60712e-05,0.048131294795309,13611791,681729790292,9531361191,22976267162433,4544226,24519,,
UY,640399,1.0015e-05,0.0490137830716081,48879749,681729790292,33610729836,22976267162433,19060929,1003661,,
GA,870340,0.0102056335,2.0737704271501163,6263603912,681729790292,101796022708,22976267162433,560222,0,,
GA,870422,0.006598603,0.2948618781309614,158391695,681729790292,18104268383,22976267162433,3795184,142003,,
